Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Time(s)
0	100.6030	99.5380	0.5500	1	4.53E-02
0	101.1080	99.7440	0.5500	1	4.24E-02
0	101.4660	99.9970	0.5500	1	3.41E-02
0	101.3420	100.0940	0.5500	1	1.22E-02
0	100.8410	100.3770	0.5500	1	4.47E-02
0	100.3590	100.5140	0.5500	1	3.89E-02
0	99.7680	100.5380	0.5500	1	4.60E-02
0	97.8720	100.3880	0.5500	1	1.48E-01
0	97.8520	100.3610	0.5500	1	2.61E-03
0	97.8450	99.8410	0.5500	1	4.04E-02
0	98.2820	100.0040	0.5500	1	3.62E-02
0	98.5810	100.0040	0.5500	1	2.32E-02
0	98.8800	100.0050	0.5500	1	2.32E-02
0	99.1800	100.0050	0.5500	1	2.33E-02
0	99.4790	100.0050	0.5500	1	2.32E-02
0	100.2220	99.9950	0.5500	1	5.78E-02
0	95.9220	98.8030	0.5500	1	3.43E-02
0	95.0220	98.8350	0.5500	1	7.00E-02
0	95.1540	101.0430	0.5500	1	1.70E-02
0	95.1540	99.1590	0.5500	1	3.14E-02
0	95.6170	99.1590	0.5500	1	7.72E-03
0	95.6170	100.8410	0.5500	1	2.80E-02
0	95.8930	100.8370	0.5500	1	4.60E-03
0	96.0800	100.7840	0.5500	1	3.24E-03
0	96.0800	99.2160	0.5500	1	2.61E-02
0	96.2250	99.2820	0.5500	1	2.66E-03
0	96.3510	99.3790	0.5500	1	2.65E-03
0	96.4330	99.4930	0.5500	1	2.34E-03
0	96.5170	99.6890	0.5500	1	3.55E-03
0	96.5430	99.7990	0.5500	1	1.88E-03
0	96.5430	100.7060	0.5500	1	1.51E-02
0	96.5430	100.7060	0.6000	1	3.85E-04
0	94.8440	101.3400	0.6000	1	1.39E-02
0	94.7900	101.2240	0.6000	1	8.93E-03
0	94.7910	98.6820	0.6000	1	1.77E-01
0	94.9340	98.6050	0.6000	1	1.13E-02
0	99.7190	98.2190	0.6000	1	3.35E-01
0	100.3100	98.2350	0.6000	1	4.12E-02
0	100.9060	98.3270	0.6000	1	4.21E-02
0	101.4230	98.5130	0.6000	1	3.83E-02
0	101.9240	98.7830	0.6000	1	3.97E-02
0	102.4200	99.1650	0.6000	1	4.37E-02
0	102.7800	99.5500	0.6000	1	3.68E-02
0	103.0690	100	0.6000	1	3.73E-02
0	102.8410	100.3710	0.6000	1	3.04E-02
0	102.4240	100.8360	0.6000	1	4.36E-02
